text_,label,rating,category
"Great great great, love love love this wall charger, will buy again and again!!!",CG,1,placeholder_category
"I compared this notebook with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,2,placeholder_category
"Bought this running shoes for my college dorm and it does the job, but the instructions were confusing at first.",OR,4,placeholder_category
"Incredible value for money, this bluetooth earbuds is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Outstanding quality outstanding service outstanding coffee maker, best in class, must buy!!!",CG,5,placeholder_category
"Good kitchen blender for the daily commute, though it's a little heavier than I expected from the listing photos.",OR,5,placeholder_category
"The face wash arrived a day late but works fine. Battery life is shorter than advertised, closer to a few hours less than claimed.",OR,2,placeholder_category
"Great great great, love love love this office chair, will buy again and again!!!",CG,5,placeholder_category
"Great great great, love love love this notebook, will buy again and again!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing kitchen blender, five stars!!!",CG,5,placeholder_category
"Incredible value for money, this phone case is simply the best on the market, buy now!!!",CG,5,placeholder_category
"This air fryer is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"I compared this desk lamp with a similar one from another brand and this one feels more solid, despite costing a bit more.",OR,5,placeholder_category
"Outstanding quality outstanding service outstanding wireless mouse, best in class, must buy!!!",CG,5,placeholder_category
"Not bad for the price. The laptop stand is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this air fryer is pure perfection!!!",CG,1,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing air fryer, five stars!!!",CG,5,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing camera tripod, five stars!!!",CG,5,placeholder_category
"Bought this coffee maker for my gym bag and it does the job, but the instructions were confusing at first.",OR,5,placeholder_category
"Super duper amazing water bottle, exceeded expectations, will recommend to all my friends and family!!!",CG,5,placeholder_category
"I've been using this phone case for about three weeks now and overall it holds up well, though the lid feels a bit flimsy.",OR,5,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this wireless mouse is pure perfection!!!",CG,1,placeholder_category
"Incredible value for money, this desk lamp is simply the best on the market, buy now!!!",CG,5,placeholder_category
"Not bad for the price. The office chair is sturdy, though the color was slightly different from the photos online.",OR,3,placeholder_category
"My second backpack from this brand - the first one broke after a year, so hoping this one lasts longer.",OR,4,placeholder_category
"I've been using this face wash for about three weeks now and overall it holds up well, though the button feels a bit flimsy.",OR,4,placeholder_category
"Highly recommended product, super fast delivery, amazing seller, amazing phone case, five stars!!!",CG,1,placeholder_category
"Perfect perfect perfect, no flaws whatsoever, this bluetooth earbuds is pure perfection!!!",CG,5,placeholder_category
"This wall charger is AMAZING!!! Best purchase ever, changed my life completely!!!",CG,5,placeholder_category
"Good gaming keyboard for the home office, though it's a little heavier than I expected from the listing photos.",OR,4,placeholder_category
